"overall_level","overall_score","reading_score","reading_level","grammar_score","grammar_level","listening_score","listening_level","total_time_spent_on_test"
"Low Intermediate",330,100,"Low Intermediate",125,"Low Intermediate",105,"Low Intermediate",63.57
"Low Intermediate",345,85,"Low Intermediate",135,"Low Intermediate",125,"Intermediate",41.03
"High Beginner",100,40,"High Beginner",40,"High Beginner",20,"High Beginner",13.47
"High Beginner",80,20,"High Beginner",50,"High Beginner",10,"Beginner",6.17
"Low Intermediate",235,85,"Low Intermediate",130,"Low Intermediate",20,"High Beginner",37.03
"Low Intermediate",490,250,"Intermediate",155,"Low Intermediate",85,"Low Intermediate",55.08
"Low Intermediate",310,95,"Low Intermediate",160,"Low Intermediate",55,"Low Intermediate",26.77
"Low Intermediate",335,120,"Low Intermediate",90,"High Beginner",125,"Intermediate",40.93
"Beginner",30,0,"Beginner",10,"Beginner",20,"High Beginner",14.17
"Low Intermediate",415,160,"Low Intermediate",200,"Low Intermediate",55,"Low Intermediate",13.17
"Beginner",0,0,"Beginner",0,"Beginner",0,"Beginner",1.2
"High Beginner",195,35,"High Beginner",110,"Low Intermediate",50,"High Beginner",65.93
"Beginner",40,20,"High Beginner",10,"Beginner",10,"Beginner",0.97
"Low Intermediate",410,165,"Intermediate",150,"Low Intermediate",95,"Low Intermediate",57.65
"Low Intermediate",350,100,"Low Intermediate",170,"Low Intermediate",80,"Low Intermediate",38.8
"High Beginner",130,40,"High Beginner",40,"High Beginner",50,"High Beginner",12.07
"Beginner",50,40,"High Beginner",0,"Beginner",10,"Beginner",11.18
"High Beginner",205,95,"Low Intermediate",40,"High Beginner",70,"Low Intermediate",7.35
"High Beginner",105,10,"Beginner",55,"High Beginner",40,"High Beginner",11.4
"Beginner",40,0,"Beginner",20,"Beginner",20,"High Beginner",3.98
"High Beginner",80,10,"Beginner",40,"High Beginner",30,"High Beginner",9.47
"High Beginner",100,10,"Beginner",40,"High Beginner",50,"High Beginner",5.92
"Low Intermediate",300,120,"Low Intermediate",155,"Low Intermediate",25,"High Beginner",40.92
"High Beginner",145,20,"High Beginner",90,"High Beginner",35,"High Beginner",39.62
"Beginner",10,0,"Beginner",0,"Beginner",10,"Beginner",11.13
"Intermediate",760,300,"High Intermediate",230,"Intermediate",230,"High Intermediate",33.02
"High Beginner",80,20,"High Beginner",40,"High Beginner",20,"High Beginner",10.72
"Beginner",40,10,"Beginner",10,"Beginner",20,"High Beginner",6.43
"Low Intermediate",410,110,"Low Intermediate",180,"Low Intermediate",120,"Intermediate",33.4
"Low Intermediate",300,75,"Low Intermediate",155,"Low Intermediate",70,"Low Intermediate",51.22
"Low Intermediate",300,120,"Low Intermediate",135,"Low Intermediate",45,"High Beginner",26.45
"High Beginner",60,0,"Beginner",40,"High Beginner",20,"High Beginner",7.83
"Low Intermediate",360,75,"Low Intermediate",185,"Low Intermediate",100,"Low Intermediate",41.27
"Intermediate",520,130,"Low Intermediate",235,"Intermediate",155,"Intermediate",30.43
